,Session,avgJVA100_c1,avgJVA100_c2
0,38,3.532110091743119,21.448940269749517
1,41,3.532110091743119,21.448940269749517
2,8,3.532110091743119,21.448940269749517
3,2,3.532110091743119,21.448940269749517
4,32,3.532110091743119,21.448940269749517
5,7,3.532110091743119,21.448940269749517
6,37,3.532110091743119,21.448940269749517
7,25,3.532110091743119,21.448940269749517
8,20,3.532110091743119,21.448940269749517
9,17,3.532110091743119,21.448940269749517
10,12,3.532110091743119,21.448940269749517
11,6,3.532110091743119,21.448940269749517
12,9,3.532110091743119,21.448940269749517
13,39,3.532110091743119,21.448940269749517
14,40,3.532110091743119,21.448940269749517
15,16,3.532110091743119,21.448940269749517
16,13,3.532110091743119,21.448940269749517
17,24,3.532110091743119,21.448940269749517
18,21,3.532110091743119,21.448940269749517
19,19,3.532110091743119,21.448940269749517
20,22,3.532110091743119,21.448940269749517
21,27,3.532110091743119,21.448940269749517
22,28,3.532110091743119,21.448940269749517
23,15,3.532110091743119,21.448940269749517
24,35,3.532110091743119,21.448940269749517
25,5,3.532110091743119,21.448940269749517
26,29,3.532110091743119,21.448940269749517
27,11,3.532110091743119,21.448940269749517
28,14,3.532110091743119,21.448940269749517
29,23,3.532110091743119,21.448940269749517
30,4,3.532110091743119,21.448940269749517
31,34,3.532110091743119,21.448940269749517
32,1,3.532110091743119,21.448940269749517
33,31,3.532110091743119,21.448940269749517
34,42,3.532110091743119,21.448940269749517
